Cenario;Cap;Ano;Supply_Ewatt;Emission_Anual_Ewatt;Crescimento_Anual_Pct;Founder_Accum_Pct;Miners_Estimados;Emission_Bloco_Ewatt;Multiplicador_xEquilibrium;Te
Pessimista - Solo Miner;3×;0;100.0;0;0;0;1;0;0;0
Pessimista - Solo Miner;3×;1;107.499979;7.499979;7.5;6.9767;1;0.0001426;2.7907;1
Pessimista - Solo Miner;3×;2;115.562473;8.062493;7.5;13.4667;1;0.00015329;2.7907;1
Pessimista - Solo Miner;3×;3;124.22961;8.667137;7.5;19.5039;1;0.00016479;2.7907;1
Pessimista - Solo Miner;3×;4;133.546781;9.317171;7.5;25.1199;1;0.00017715;2.7907;1
Pessimista - Solo Miner;3×;5;143.562742;10.015961;7.5;30.344;1;0.00019043;2.7907;1
Pessimista - Solo Miner;3×;6;154.329932;10.76719;7.5;35.2038;1;0.00020472;2.7907;1
Pessimista - Solo Miner;3×;7;165.904629;11.574697;7.5;39.7244;1;0.00022007;2.7907;1
Pessimista - Solo Miner;3×;8;178.347475;12.442846;7.5;43.9297;1;0.00023657;2.7907;1
Pessimista - Solo Miner;3×;9;191.723532;13.376057;7.5;47.8416;1;0.00025432;2.7907;1
Pessimista - Solo Miner;3×;10;206.102752;14.37922;7.5;51.4805;1;0.00027339;2.7907;1
Pessimista - Solo Miner;3×;11;221.560454;15.457701;7.5;54.8656;1;0.0002939;2.7907;1
Pessimista - Solo Miner;3×;12;238.177476;16.617022;7.5;58.0145;1;0.00031594;2.7907;1
Pessimista - Solo Miner;3×;13;256.040761;17.863285;7.5;60.9437;1;0.00033963;2.7907;1
Pessimista - Solo Miner;3×;14;275.243771;19.20301;7.5;63.6686;1;0.0003651;2.7907;1
Pessimista - Solo Miner;3×;15;295.887017;20.643246;7.5;66.2033;1;0.00039249;2.7907;1
Pessimista - Solo Miner;3×;16;318.078532;22.191515;7.5;68.5612;1;0.00042192;2.7907;1
Pessimista - Solo Miner;3×;17;341.934394;23.855863;7.5;70.7546;1;0.00045357;2.7907;1
Pessimista - Solo Miner;3×;18;367.579468;25.645073;7.5;72.795;1;0.00048759;2.7907;1
Pessimista - Solo Miner;3×;19;395.147924;27.568456;7.5;74.693;1;0.00052415;2.7907;1
Pessimista - Solo Miner;3×;20;424.783982;29.636058;7.5;76.4586;1;0.00056347;2.7907;1
Pessimista - Solo Miner;3×;21;456.642746;31.858765;7.5;78.101;1;0.00060573;2.7907;1
Pessimista - Solo Miner;3×;22;490.890947;34.248201;7.5;79.6289;1;0.00065116;2.7907;1
Pessimista - Solo Miner;3×;23;527.707727;36.816779;7.5;81.0501;1;0.00069999;2.7907;1
Pessimista - Solo Miner;3×;24;567.285796;39.578069;7.5;82.3722;1;0.00075249;2.7907;1
Pessimista - Solo Miner;3×;25;609.832226;42.54643;7.5;83.602;1;0.00080893;2.7907;1
Pessimista - Solo Miner;3×;26;655.569602;45.737376;7.5;84.7461;1;0.0008696;2.7907;1
